Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-11-25 00:00:00-05:00,244.41596974978978,249.03812485418172,243.89695790032175,245.10145568847656,10295400,0.0,0.0
2024-11-26 00:00:00-05:00,245.2973257346259,245.79674801065607,243.19188645749702,244.78810119628906,6212100,0.0,0.0
2024-11-27 00:00:00-05:00,244.1809502113333,245.98280320180402,243.61297188863597,244.61181640625,5472300,0.0,0.0
2024-11-29 00:00:00-05:00,244.68037111032748,246.5507801542937,244.2788668761305,244.54327392578125,5494800,0.0,0.0
2024-12-02 00:00:00-05:00,244.37679615800982,245.06228207041164,239.95049221404463,241.14520263671875,8899700,0.0,0.0
2024-12-03 00:00:00-05:00,243.08415670302463,243.87736291037757,239.55879412118145,239.74485778808594,6657700,0.0,0.0
2024-12-04 00:00:00-05:00,239.62734771453182,240.26388213141325,237.20854980382347,238.3542938232422,7346300,0.0,0.0
2024-12-05 00:00:00-05:00,240.30304361033552,242.0559301817918,239.54900159262675,240.39117431640625,6572500,0.0,0.0
2024-12-06 00:00:00-05:00,240.60660144053932,242.60432032128764,239.76442876384584,242.23219299316406,5519700,0.0,0.0
2024-12-09 00:00:00-05:00,242.00696620096832,242.73161633693363,238.70681659937458,238.7557830810547,7076500,0.0,0.0
2024-12-10 00:00:00-05:00,238.83413201717414,242.81976762755573,237.1987530998406,237.8254852294922,9108300,0.0,0.0
2024-12-11 00:00:00-05:00,238.9418406612238,239.20624770158534,237.15956238226588,238.48158264160156,7884400,0.0,0.0
2024-12-12 00:00:00-05:00,237.9625686165377,239.03977140619386,236.04319317564267,236.52304077148438,6113800,0.0,0.0
2024-12-13 00:00:00-05:00,237.05186831410091,237.68838776257604,234.1825997799997,234.9660186767578,10392700,0.0,0.0
2024-12-16 00:00:00-05:00,235.62214171952374,235.68089552534204,232.59620118009317,234.61349487304688,9032000,0.0,0.0
2024-12-17 00:00:00-05:00,233.70274388904227,234.0650838946768,231.724629549238,233.41876220703125,8083600,0.0,0.0
2024-12-18 00:00:00-05:00,234.04549446770358,234.11405052968323,224.7718077802173,225.59439086914062,11322400,0.0,0.0
2024-12-19 00:00:00-05:00,227.4550082117905,231.46021824110554,227.4550082117905,228.13070678710938,11790800,0.0,0.0
2024-12-20 00:00:00-05:00,227.11226932732094,234.25115513761958,226.78910847304047,232.67453002929688,32348400,0.0,0.0
2024-12-23 00:00:00-05:00,231.1762371287838,233.6733632541422,230.01090363429827,233.44813537597656,8611500,0.0,0.0
2024-12-24 00:00:00-05:00,234.46657847784007,237.46315684035804,234.114055668397,237.28688049316406,3729100,0.0,0.0
2024-12-26 00:00:00-05:00,236.42512754570095,238.2171932767263,235.79839540008058,238.0996856689453,4451800,0.0,0.0
2024-12-27 00:00:00-05:00,237.68838828184474,238.34449731335218,235.06393721334237,236.17051696777344,5730200,0.0,0.0
2024-12-30 00:00:00-05:00,233.82027004526657,235.8473508974243,232.19467848181526,234.35887145996094,5723800,0.0,0.0
2024-12-31 00:00:00-05:00,235.07373185616066,236.43491635792464,234.07487241942522,234.74078369140625,4871000,0.0,0.0
2025-01-02 00:00:00-05:00,235.9256761701603,238.23675347379177,234.48614838250796,235.02474975585938,9220900,0.0,0.0
2025-01-03 00:00:00-05:00,238.83412584289502,239.8036083847427,235.27937146525915,238.2367706298828,9491100,0.0,0.0
2025-01-06 00:00:00-05:00,239.88059581847392,241.83941284498218,236.80949899026749,237.0752716064453,9917800,1.25,0.0
2025-01-07 00:00:00-05:00,238.34504591508428,241.41614272410112,237.12447448141728,239.35890197753906,8753400,0.0,0.0
2025-01-08 00:00:00-05:00,238.94548506982153,240.421976223703,236.7307483389993,239.3195343017578,8675300,0.0,0.0
2025-01-10 00:00:00-05:00,239.28016188638824,239.98887886875545,234.99834638920223,236.11062622070312,10256800,0.0,0.0
2025-01-13 00:00:00-05:00,235.9137441087266,240.70741369884797,235.25424655880607,240.38259887695312,10005300,0.0,0.0
2025-01-14 00:00:00-05:00,238.8568944878796,243.83758881212796,238.3942594005622,243.5915069580078,12407400,0.0,0.0
